"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,101717BS0913,"Write IN tags",BIGROPE4,"4in Diam Big Rope Assemblyyy  OAL Pin to Pin: ",15,"4in Diam Big Rope Assemblyyy  OAL Pin to Pin: ",BIGROPE4,15,225,EA,,XXX,0,0,,430,000,000,,,,,36000,
,101717BS0913,"Write IN tag",CUTCL,"Custom Cut Cable Length  Item: CABXXXXXX  Desc:  Length: ",1,"Custom Cut Cable Length  Item: CABXXXXXX  Desc:  Length: ",CUTCL,1,1,EA,,XXX,0,0,,430,000,000,,,,,20,
,101717BS0913,,PSNCFR,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh FR, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 3.00 FT x 15.00 FT",1,"Set up and Other Overhead Costs",SETU,0.25,0.25,,100,SETU,0.00556,0.00556,,430,181,000,,,,,,0.25
,101717BS0913,,PSNCFR,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh FR, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 3.00 FT x 15.00 FT",1,"210/378 Ply Knotted Nylon FR, 7in Str x 60MD x 700ML Expanded Single Selvedge, Dyed Black and Bonded (575lb Bale)",120-089-06-40FR,6.18,6.18,SF,120,CUTD,0.00515,0.00515,,430,181,181,,,,,1.87872,0.27811
,101717BS0913,,PSNCFR,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh FR, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 3.00 FT x 15.00 FT",1,"HTPP Polysteel 3 Strand 1/2in x 1,000mHTPP Polysteel 3 Strand 1/2in",RPS3S050BK,12.6999,12.6999,FT,180,CWS,0.08807,0.08807,,430,181,181,,,,,1.02234,3.96321
,101717BS0913,,PSNCFR,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh FR, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 3.00 FT x 15.00 FT",1,"Short Double Loop Tag Clip for Metal Tag for Personnel Safety NetShort Double Loop Tag Clip for",TC-PSN,1,1,EA,190,ATT,0.03333,0.03333,,430,181,181,,,,,0.1,1.5
,101717BS0913,,PSNCFR,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh FR, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 3.00 FT x 15.00 FT",1,"Metal Tag for Personnel Safety NetMetal Tag for Personnel Safety",MT-PSN,1,1,EA,190,ATT,0.03333,0.03333,,430,181,181,,,,,1.1,1.5
,101717BS0913,,PSNCFR,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh FR, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 3.00 FT x 15.00 FT",1,"Snap Hook 120mm ZP",SH120ZP,8,8,EA,210,ASY,0.13333,0.13333,,430,181,181,,,,,3.904,6
,101717BS0913,,PSNCFR,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh FR, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 3.00 FT x 15.00 FT",1,"Art No 2017G Black Plastic Thimble for Corner Attachment Please ship with Attachment Screws
Art No 2017G Black Plastic Thi",TMPSN,4,4,EA,220,DRIL,0.13333,0.13333,,430,181,181,,,,,3.84,6
,101717BS0913,,PSNCDL,"Custom Personnel Safety Net 3-1/2in Dupont Nylon Mesh, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010
WS70 Debris Liner Attached; Net Size: 4.00 FT x 15.00 FT ;Liner Size: 4.40 FT x 16.50 FT",1,"Set up and Other Overhead Costs",SETU,0.25,0.25,,100,SETU,0.00556,0.00556,,430,181,000,,,,,,0.25
